Destination Title,Total Reviews (Destination),1 Star %,2 Star %,3 Star %,4 Star %,5 Star %
Ramboda Waterfall,368,1.36,0.82,9.51,35.33,52.99
Rangiri Dambulla International Stadium,17,0.0,5.88,11.76,52.94,29.41
Rankoth Vehera,58,0.0,6.9,10.34,44.83,37.93
Ranmasu Uyana,43,0.0,0.0,2.33,37.21,60.47
Ravana Ella Falls,500,2.0,6.0,19.6,36.4,36.0
Ridiyagama Safari Park,119,5.88,4.2,9.24,41.18,39.5
Ritigala Forest Monastery,233,1.29,0.0,6.87,33.05,58.8
Riverston,25,0.0,0.0,8.0,12.0,80.0
Riverstone Gap,28,0.0,0.0,3.57,25.0,71.43
Royal Botanical Gardens,340,1.47,1.18,5.0,22.06,70.29
Rumasalla Mountain,75,0.0,0.0,14.67,29.33,56.0
Ruwanwelisaya,500,0.6,0.8,5.0,25.0,68.6
Sakwala Chakraya (Star Gate),5,0.0,0.0,0.0,40.0,60.0
Samadhi Statue,134,1.49,2.99,16.42,33.58,45.52
Sandakada Pahana,41,2.44,0.0,2.44,36.59,58.54
Sandun Village & Jeep Safari in Hiriwadunna,9,0.0,0.0,0.0,0.0,100.0
Sathmahal Prasada,41,0.0,2.44,9.76,46.34,41.46
Secret Beach,140,20.71,12.14,17.86,17.14,32.14
Sembuwaththa Lake,122,5.74,4.92,10.66,26.23,52.46
Seruwila Mangala Raja Maha Vihara,41,2.44,0.0,9.76,34.15,53.66
Sigiriya The Ancient Rock Fortress,500,2.0,1.8,3.8,16.0,76.4
Single Tree Hill,33,3.03,3.03,15.15,39.39,39.39
Sinharaja Forest Reserve,432,1.39,1.85,8.8,23.15,64.81
Sita Temple,430,1.16,2.09,16.51,32.09,48.14
Sithulpawwa Rock Temple,90,0.0,0.0,10.0,27.78,62.22
Sorabora Lake,41,0.0,4.88,2.44,31.71,60.98
Sri Pada  Adam's Peak,500,4.8,4.8,6.6,24.4,59.4
St Clair's Falls,254,0.39,1.18,15.35,41.73,41.34
St Lucia's Cathedral,40,0.0,2.5,15.0,35.0,47.5
St. Anne's National Shrine,32,3.12,0.0,0.0,31.25,65.62
Star Fort,52,7.69,1.92,11.54,48.08,30.77
Statue of Parakramabahu I,99,2.02,4.04,20.2,30.3,43.43
Sudugala Falls,7,0.0,0.0,0.0,28.57,71.43
Talalla Beach,4,25.0,0.0,0.0,0.0,75.0
Tangalle Lagoon,135,2.22,3.7,7.41,24.44,62.22
Temple of the Gadaladenia,123,1.63,2.44,18.7,45.53,31.71
Temple of the Sacred Tooth Relic,500,4.8,4.2,17.4,23.8,49.8
Thanthirimale Rajamaha Viharaya,16,0.0,0.0,0.0,25.0,75.0
Thirukoneswaram Kovil,500,0.0,0.8,7.4,34.6,57.2
Thivanka Image House,37,0.0,2.7,8.11,27.03,62.16
Thotupola Kanda Nature Trail,19,0.0,0.0,5.26,26.32,68.42
Trincomalee Beach,38,7.89,5.26,7.89,21.05,57.89
Trincomalee War Cemetery,253,0.0,1.58,4.74,25.3,68.38
Turtle Watch Rekawa,15,6.67,6.67,0.0,26.67,60.0
Twin Baths (Kuttam Pokuna),254,0.39,3.94,21.26,42.13,32.28
Udawalawe National Park,500,2.0,1.6,2.0,6.4,88.0
Udawattekele Sanctuary,356,2.81,3.65,12.64,32.87,48.03
Unawatuna Beach,122,7.38,7.38,21.31,25.41,38.52
Uppuveli Beach,97,13.4,3.09,7.22,29.9,46.39
Ussangoda National Park,24,0.0,4.17,0.0,50.0,45.83
Vessagiriya Ruins,23,0.0,0.0,0.0,39.13,60.87
Victoria Dam,22,9.09,0.0,13.64,31.82,45.45
Victoria Park of Nuwara Eliya,500,4.0,6.6,24.8,36.6,28.0
Viharamahadevi Park,500,0.4,1.8,13.2,47.8,36.8
Wadduwa Beach,67,5.97,2.99,10.45,25.37,55.22
Wasgamuwa National Park,63,6.35,1.59,6.35,25.4,60.32
Water World Lanka,81,2.47,2.47,20.99,43.21,30.86
Wedasiti Kanda Viharaya,5,0.0,0.0,20.0,0.0,80.0
Weijantha Prasada,82,1.22,1.22,17.07,42.68,37.8
Weligama Beach,185,10.27,4.32,5.41,24.32,55.68
Whale Watching Mirissa,470,21.06,10.21,14.68,21.28,32.77
Wilpattu National Park,500,3.4,6.4,12.6,23.4,54.2
World's End,102,1.96,2.94,8.82,29.41,56.86
Yala National Park,63,17.46,11.11,15.87,14.29,41.27
Yapahuwa Rock Fortress,85,0.0,0.0,4.71,30.59,64.71
Overall Average,40805,3.49,3.29,11.81,29.74,51.67
